user_id,treat,received,block,platform,cluster_id,signup_cohort,baseline_activity,pre_metric,post_clicks,post_purchases,days_observed,missing_share,converted
1,1,1,5,android,96,cohort_A,3.0424081811554244,2.2992720210726096,11.0,0.0,14,0.0,0
2,1,1,4,ios,148,cohort_A,2.6432771247632174,1.994156939288617,9.0,1.0,13,0.07142857142857142,1
3,0,0,4,ios,283,cohort_A,2.2925718165283246,2.213641476105211,6.0,0.0,14,0.0,0
4,0,0,7,android,83,cohort_A,4.697761676467937,4.2286511565480716,10.0,0.0,14,0.0,0
5,1,0,8,web,235,cohort_A,5.820368651821141,5.214387486931727,4.0,0.0,14,0.0,0
6,1,1,4,android,239,cohort_B,2.539781008209129,2.3209759181485605,4.0,0.0,13,0.07142857142857142,0
7,0,0,3,web,287,cohort_C,1.6971052095362427,1.459754832548574,5.0,0.0,13,0.07142857142857142,0
8,0,0,3,android,393,cohort_C,2.067273476186113,1.9000186022598444,7.0,0.0,14,0.0,0
9,1,1,1,android,95,cohort_A,0.8720005518115755,0.9208400570832548,4.0,0.0,13,0.07142857142857142,0
10,0,0,5,android,297,cohort_B,2.862420406413959,2.5530251032674003,7.0,0.0,14,0.0,0
11,0,0,10,ios,457,cohort_A,7.84121135275876,8.266865138264432,6.0,0.0,13,0.07142857142857142,0
12,1,1,7,web,99,cohort_A,4.306543877744703,4.369161327707953,4.0,0.0,14,0.0,0
13,1,1,1,android,371,cohort_C,0.8897024550436311,1.36011115098723,6.0,0.0,14,0.0,0
14,0,0,5,ios,310,cohort_B,3.2222205862607898,3.3833014194203512,3.0,0.0,14,0.0,0
15,1,1,2,android,313,cohort_C,1.2921083767864814,0.48564677020508884,2.0,0.0,14,0.0,0
16,0,0,3,web,305,cohort_A,2.009298397378147,0.8186040656953166,5.0,0.0,14,0.0,0
17,0,0,9,ios,399,cohort_A,7.220178743209693,7.101243308815912,6.0,0.0,14,0.0,0
18,1,1,9,ios,272,cohort_A,6.530376763345987,6.097817637308388,3.0,0.0,14,0.0,0
19,1,1,3,android,378,cohort_C,1.9830443089791776,2.8330843368213223,7.0,0.0,14,0.0,0
20,0,0,4,android,60,cohort_A,2.2554895382684355,1.1974566848458952,10.0,0.0,14,0.0,0
21,0,0,3,android,44,cohort_B,1.7303762483843992,1.056409641720209,3.0,0.0,13,0.07142857142857142,0
22,0,0,3,web,7,cohort_A,1.8580473524239298,0.7353821862638679,8.0,0.0,14,0.0,0
23,0,0,9,web,165,cohort_A,7.50962815783256,7.724109700146203,7.0,0.0,13,0.07142857142857142,0
24,0,0,3,android,464,cohort_B,2.0509769547096544,2.482287020901975,2.0,0.0,14,0.0,0
25,1,1,7,web,180,cohort_A,4.274005739355872,3.9199880079847804,3.0,0.0,14,0.0,0
26,0,0,5,ios,378,cohort_A,2.8496937570417074,2.593223634995618,3.0,0.0,13,0.07142857142857142,0
27,1,1,5,android,12,cohort_C,2.991338221612467,3.8955388056565847,7.0,0.0,14,0.0,0
28,1,1,5,ios,40,cohort_A,2.766524606746061,3.1042488155121273,11.0,0.0,14,0.0,0
29,0,0,10,ios,291,cohort_B,14.444567194838797,15.230574135878433,6.0,0.0,14,0.0,0
30,1,1,1,android,230,cohort_A,1.0213053957949392,0.7943910834668569,4.0,0.0,14,0.0,0
31,0,0,4,ios,393,cohort_B,2.698676417657933,2.4696612298253804,8.0,0.0,14,0.0,0
32,1,0,2,android,200,cohort_B,1.258236611732519,1.8127661809892017,4.0,0.0,14,0.0,0
33,1,0,6,android,242,cohort_B,3.3702155109575247,3.683221122340788,9.0,0.0,14,0.0,0
34,1,1,2,android,212,cohort_B,1.6340639278943359,1.329660227978367,10.0,0.0,14,0.0,0
35,0,0,1,android,249,cohort_C,0.8159411396450855,0.178905890020714,4.0,0.0,14,0.0,0
36,0,0,6,ios,144,cohort_C,3.8712446660904387,4.161353747104272,4.0,0.0,14,0.0,0
37,0,0,4,android,136,cohort_B,2.3526321017693315,2.450681191582422,2.0,0.0,14,0.0,0
38,1,0,10,web,20,cohort_A,8.71457431637827,9.242944549151424,5.0,0.0,14,0.0,0
39,1,1,4,web,288,cohort_C,2.3428651915682908,2.098424418364701,8.0,0.0,13,0.07142857142857142,0
40,1,1,3,android,86,cohort_A,1.6661300329175035,1.8919920333836786,6.0,0.0,13,0.07142857142857142,0
41,0,0,9,android,197,cohort_A,6.074533127523042,5.699203321574225,8.0,0.0,14,0.0,0
42,0,0,7,ios,177,cohort_B,4.108836606924223,3.3345896235423127,8.0,0.0,14,0.0,0
43,1,1,7,ios,330,cohort_C,4.6955974134333065,3.665460871357062,6.0,1.0,13,0.07142857142857142,1
44,1,1,10,android,472,cohort_A,11.704128907279193,11.490208775081515,8.0,0.0,14,0.0,0
45,0,0,5,web,164,cohort_B,3.06735925643853,3.682935532770189,8.0,0.0,13,0.07142857142857142,0
46,0,0,8,ios,317,cohort_B,5.069945997419541,4.9499027712427415,6.0,1.0,14,0.0,1
47,1,1,5,android,496,cohort_C,2.8842822788759164,3.1583904710069963,4.0,0.0,14,0.0,0
48,1,1,5,web,165,cohort_A,2.758001618893561,2.9538836377142443,3.0,0.0,14,0.0,0
49,0,0,1,android,97,cohort_B,0.7274825432692764,0.43096331855570397,4.0,0.0,14,0.0,0
50,1,1,2,android,369,cohort_A,1.1400727651459104,1.0303577109840127,9.0,0.0,14,0.0,0
51,0,0,8,ios,84,cohort_A,5.32505935148033,5.488632182565853,4.0,0.0,13,0.07142857142857142,0
52,1,1,9,web,167,cohort_B,7.748824969533503,7.992047270662651,2.0,0.0,14,0.0,0
53,1,1,4,android,267,cohort_C,2.749041276152707,2.3485675928280676,6.0,0.0,14,0.0,0
54,0,0,4,android,351,cohort_C,2.6200209200934883,2.22200715849316,10.0,0.0,14,0.0,0
55,0,0,7,ios,226,cohort_A,4.809064563578715,4.222402404450435,10.0,0.0,14,0.0,0
56,0,0,7,ios,410,cohort_A,4.869690446916193,3.9769751781284257,5.0,0.0,14,0.0,0
57,1,1,8,android,491,cohort_A,5.928231921836811,5.678439493647958,7.0,0.0,13,0.07142857142857142,0
58,1,1,6,android,217,cohort_B,3.6647891842314273,3.569376874617378,4.0,0.0,14,0.0,0
59,0,0,8,web,24,cohort_A,5.130695389157604,5.287508634286986,6.0,0.0,13,0.07142857142857142,0
60,1,1,2,android,157,cohort_A,1.2530227930838442,1.020086579966628,6.0,0.0,14,0.0,0
61,0,0,7,android,1,cohort_A,4.8181710070402275,4.2717824499553245,6.0,1.0,14,0.0,1
62,0,0,3,android,69,cohort_A,2.050697041332243,2.675812746129643,3.0,0.0,14,0.0,0
63,1,0,4,android,380,cohort_C,2.4853041008506294,2.6668938869808185,2.0,0.0,14,0.0,0
64,1,1,8,android,342,cohort_A,4.949214342637792,4.665303342680388,11.0,1.0,14,0.0,1
65,1,1,7,web,103,cohort_B,4.06337223894198,3.528315848474413,7.0,0.0,14,0.0,0
66,1,1,1,ios,96,cohort_A,0.7918383770565669,0.6383750113881403,6.0,0.0,14,0.0,0
67,1,1,1,web,338,cohort_C,0.487096396503833,-0.031226860537370282,4.0,1.0,14,0.0,1
68,1,1,5,ios,383,cohort_A,3.340696047876239,3.7472778817616934,8.0,0.0,14,0.0,0
69,1,1,3,ios,495,cohort_B,1.8997159241299242,2.809051528137194,8.0,0.0,13,0.07142857142857142,0
70,1,1,5,android,340,cohort_C,3.2197548336974338,3.0040555325171203,2.0,0.0,13,0.07142857142857142,0
71,1,1,4,ios,294,cohort_C,2.203283307870394,1.5432801565575929,5.0,0.0,14,0.0,0
72,1,1,4,web,121,cohort_A,2.7083532534541983,2.3601176273358626,7.0,0.0,13,0.07142857142857142,0
73,1,1,6,android,475,cohort_B,3.649208737742657,3.8562013250603813,4.0,0.0,14,0.0,0
74,1,0,2,web,328,cohort_C,1.61248706722161,1.4845545683561727,2.0,0.0,14,0.0,0
75,1,0,10,ios,88,cohort_A,10.734907096832801,11.469083050116257,5.0,0.0,13,0.07142857142857142,0
76,1,1,2,android,462,cohort_B,1.402970628940682,2.135001442942755,4.0,0.0,14,0.0,0
77,1,0,1,android,421,cohort_A,0.5810704391558219,0.5632963321189646,2.0,0.0,12,0.14285714285714285,0
78,1,0,10,ios,314,cohort_B,8.832130719375487,8.950309441624801,3.0,0.0,14,0.0,0
79,1,0,3,ios,355,cohort_C,2.0703288151781285,2.1147330441728838,3.0,0.0,13,0.07142857142857142,0
80,0,0,1,android,337,cohort_C,0.8261763563726126,0.6263208861778286,2.0,0.0,14,0.0,0
81,0,0,1,ios,265,cohort_C,1.0359892211169817,0.8238820687516495,8.0,0.0,14,0.0,0
82,1,1,5,android,177,cohort_A,2.8339647305880673,2.9261971339378534,5.0,0.0,13,0.07142857142857142,0
83,0,0,8,android,281,cohort_A,5.393952240616947,5.074745295856611,5.0,0.0,14,0.0,0
84,1,0,5,android,378,cohort_A,3.2443573912724695,3.4458760215561917,4.0,1.0,14,0.0,1
85,0,0,9,web,430,cohort_A,7.38415598167321,6.145973188878578,10.0,0.0,14,0.0,0
86,1,1,1,web,375,cohort_A,0.8574514520238876,1.4206781206934553,7.0,0.0,13,0.07142857142857142,0
87,1,1,1,android,414,cohort_A,0.5511108264915302,1.0542035581799705,4.0,0.0,14,0.0,0
88,0,0,8,ios,190,cohort_B,5.984230175674473,6.429025933816922,4.0,0.0,13,0.07142857142857142,0
89,1,0,3,ios,204,cohort_A,1.725206614244919,2.14452961252393,9.0,0.0,14,0.0,0
90,0,0,3,android,226,cohort_B,2.107036088372922,2.376838604238122,3.0,0.0,14,0.0,0
91,0,0,8,web,98,cohort_B,5.999810934685912,5.580261142581966,2.0,0.0,13,0.07142857142857142,0
92,1,0,8,web,343,cohort_A,5.197187271964497,5.005721061008661,9.0,0.0,14,0.0,0
93,1,1,1,android,227,cohort_C,1.0097914231200122,0.2651561945623284,3.0,0.0,14,0.0,0
94,0,0,9,web,451,cohort_A,6.058135154975388,6.691922170683327,7.0,0.0,13,0.07142857142857142,0
95,0,0,6,android,25,cohort_A,3.8668661367289032,3.1001061807070593,9.0,0.0,14,0.0,0
96,0,0,1,android,351,cohort_B,0.24452942712873418,0.09554841714117826,8.0,0.0,14,0.0,0
97,0,0,8,ios,198,cohort_B,5.918485728509894,5.742385381530648,6.0,0.0,13,0.07142857142857142,0
98,1,1,4,android,500,cohort_C,2.4977730541958705,2.050400726389408,9.0,0.0,14,0.0,0
