user_id,treat,received,block,platform,cluster_id,signup_cohort,baseline_activity,pre_metric,assignment_date
1,1,1,5,android,96,cohort_A,3.0424081811554244,2.2992720210726096,2026-04-16
2,1,1,4,ios,148,cohort_A,2.6432771247632174,1.994156939288617,2026-04-16
3,0,0,4,ios,283,cohort_A,2.2925718165283246,2.213641476105211,2026-04-16
4,0,0,7,android,83,cohort_A,4.697761676467937,4.2286511565480716,2026-04-16
5,1,0,8,web,235,cohort_A,5.820368651821141,5.214387486931727,2026-04-16
6,1,1,4,android,239,cohort_B,2.539781008209129,2.3209759181485605,2026-04-16
7,0,0,3,web,287,cohort_C,1.6971052095362427,1.459754832548574,2026-04-16
8,0,0,3,android,393,cohort_C,2.067273476186113,1.9000186022598444,2026-04-16
9,1,1,1,android,95,cohort_A,0.8720005518115755,0.9208400570832548,2026-04-16
10,0,0,5,android,297,cohort_B,2.862420406413959,2.5530251032674003,2026-04-16
11,0,0,10,ios,457,cohort_A,7.84121135275876,8.266865138264432,2026-04-16
12,1,1,7,web,99,cohort_A,4.306543877744703,4.369161327707953,2026-04-16
13,1,1,1,android,371,cohort_C,0.8897024550436311,1.36011115098723,2026-04-16
14,0,0,5,ios,310,cohort_B,3.2222205862607898,3.3833014194203512,2026-04-16
15,1,1,2,android,313,cohort_C,1.2921083767864814,0.48564677020508884,2026-04-16
16,0,0,3,web,305,cohort_A,2.009298397378147,0.8186040656953166,2026-04-16
17,0,0,9,ios,399,cohort_A,7.220178743209693,7.101243308815912,2026-04-16
18,1,1,9,ios,272,cohort_A,6.530376763345987,6.097817637308388,2026-04-16
19,1,1,3,android,378,cohort_C,1.9830443089791776,2.8330843368213223,2026-04-16
20,0,0,4,android,60,cohort_A,2.2554895382684355,1.1974566848458952,2026-04-16
21,0,0,3,android,44,cohort_B,1.7303762483843992,1.056409641720209,2026-04-16
22,0,0,3,web,7,cohort_A,1.8580473524239298,0.7353821862638679,2026-04-16
23,0,0,9,web,165,cohort_A,7.50962815783256,7.724109700146203,2026-04-16
24,0,0,3,android,464,cohort_B,2.0509769547096544,2.482287020901975,2026-04-16
25,1,1,7,web,180,cohort_A,4.274005739355872,3.9199880079847804,2026-04-16
26,0,0,5,ios,378,cohort_A,2.8496937570417074,2.593223634995618,2026-04-16
27,1,1,5,android,12,cohort_C,2.991338221612467,3.8955388056565847,2026-04-16
28,1,1,5,ios,40,cohort_A,2.766524606746061,3.1042488155121273,2026-04-16
29,0,0,10,ios,291,cohort_B,14.444567194838797,15.230574135878433,2026-04-16
30,1,1,1,android,230,cohort_A,1.0213053957949392,0.7943910834668569,2026-04-16
31,0,0,4,ios,393,cohort_B,2.698676417657933,2.4696612298253804,2026-04-16
32,1,0,2,android,200,cohort_B,1.258236611732519,1.8127661809892017,2026-04-16
33,1,0,6,android,242,cohort_B,3.3702155109575247,3.683221122340788,2026-04-16
34,1,1,2,android,212,cohort_B,1.6340639278943359,1.329660227978367,2026-04-16
35,0,0,1,android,249,cohort_C,0.8159411396450855,0.178905890020714,2026-04-16
36,0,0,6,ios,144,cohort_C,3.8712446660904387,4.161353747104272,2026-04-16
