<<<<<<< HEAD
,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6694447090316724,0.009590051532740571,69.8061638924649,0.0,0.6506483258878489,0.6882410921754959
C(block)[T.2],0.6948271721496437,0.012942496021389381,53.685716495592466,0.0,0.669460039009127,0.7201943052901605
C(block)[T.3],1.255756929534789,0.01294219702507619,97.02811100014114,0.0,1.2303903824233715,1.2811234766462065
C(block)[T.4],1.81391701244255,0.012942208208442914,140.15514070150968,0.0,1.7885504434118713,1.839283581473229
C(block)[T.5],2.376808885741478,0.012942247505461817,183.64730582832928,0.0,2.351442239689125,2.402175531793831
C(block)[T.6],3.032190769246879,0.012942224517492712,234.28667654069588,0.0,3.006824168250663,3.057557370243095
C(block)[T.7],3.7750418339431566,0.012942167578099257,291.68543917877287,0.0,3.749675344547452,3.800408323338861
C(block)[T.8],4.747736765724606,0.012942222770097591,366.8409090202058,0.0,4.7223701681532635,4.773103363295949
C(block)[T.9],6.1164748108942675,0.01294220972285245,472.59895658267874,0.0,6.091108238895365,6.14184138289317
C(block)[T.10],9.475858211401444,0.012942182385728447,732.1684959292975,0.0,9.450491692982968,9.50122472981992
treat,-0.006450941635260321,0.0057882653896909764,-1.1144861544789542,0.26507335976391755,-0.017795870662109147,0.004893987391588506
=======
,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6694447090316724,0.009590051532740571,69.8061638924649,0.0,0.6506483258878489,0.6882410921754959
C(block)[T.2],0.6948271721496437,0.012942496021389381,53.685716495592466,0.0,0.669460039009127,0.7201943052901605
C(block)[T.3],1.255756929534789,0.01294219702507619,97.02811100014114,0.0,1.2303903824233715,1.2811234766462065
C(block)[T.4],1.81391701244255,0.012942208208442914,140.15514070150968,0.0,1.7885504434118713,1.839283581473229
C(block)[T.5],2.376808885741478,0.012942247505461817,183.64730582832928,0.0,2.351442239689125,2.402175531793831
C(block)[T.6],3.032190769246879,0.012942224517492712,234.28667654069588,0.0,3.006824168250663,3.057557370243095
C(block)[T.7],3.7750418339431566,0.012942167578099257,291.68543917877287,0.0,3.749675344547452,3.800408323338861
C(block)[T.8],4.747736765724606,0.012942222770097591,366.8409090202058,0.0,4.7223701681532635,4.773103363295949
C(block)[T.9],6.1164748108942675,0.01294220972285245,472.59895658267874,0.0,6.091108238895365,6.14184138289317
C(block)[T.10],9.475858211401444,0.012942182385728447,732.1684959292975,0.0,9.450491692982968,9.50122472981992
treat,-0.006450941635260321,0.0057882653896909764,-1.1144861544789542,0.26507335976391755,-0.017795870662109147,0.004893987391588506
>>>>>>> d9681faaefa0c817f85f304ca745e7ad9ee5a352
