,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.092572720393496,0.003272002329838248,28.292376062602727,4.289094348895251e-176,0.08615971366968188,0.09898572711731012
C(block)[T.2],0.0018770261591520825,0.0045248582971988745,0.41482540134219464,0.6782697230346504,-0.006991533138504948,0.010745585456809113
C(block)[T.3],0.009153786173634956,0.004609146425917294,1.9860046368158515,0.04703280905504786,0.00012002517936554775,0.018187547167904362
C(block)[T.4],0.012156324413936348,0.005014642704246839,2.4241656147588153,0.01534360636755695,0.0023278053182760015,0.021984843509596695
C(block)[T.5],0.014451673933106693,0.005368235115470715,2.6920717185911656,0.0071009673376935725,0.0039301264462408714,0.024973221419972512
C(block)[T.6],0.017177894903719057,0.00575299419410182,2.9859051346393612,0.0028274033957659157,0.0059022334800114575,0.028453556327426657
C(block)[T.7],0.016528895885247336,0.006430192426910448,2.570513413575878,0.010154789413107095,0.003925950314840653,0.02913184145565402
C(block)[T.8],0.02227355055209895,0.007321777463238599,3.042096084445432,0.002349368877006709,0.007923130421334256,0.036623970682863646
C(block)[T.9],0.02129350897982917,0.009133720575192508,2.3313072481835118,0.019737164304065382,0.0033917456075993856,0.039195272352058955
C(block)[T.10],0.03084795352406237,0.01311553747313422,2.3520159648242487,0.018671973520705043,0.0051419724388338355,0.05655393460929091
treat,0.015176357293942325,0.0021096585817841234,7.193750412973357,6.303537951983182e-13,0.011041502453969596,0.019311212133915054
baseline_activity,0.0015059178015748313,0.002409197336212702,0.6250703414532904,0.5319248924733636,-0.0032160222090518997,0.006227857812201563
pre_metric,-0.0019585392869490028,0.00204364169265483,-0.9583574723437585,0.33788253223792664,-0.005964003401856944,0.0020469248279589383
