<<<<<<< HEAD
,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09620316347600921,0.003510278297325817,27.406135732684852,2.317565282510547e-165,0.08932314443753803,0.1030831825144804
C(block)[T.2],0.002964739449619248,0.0049014847491942615,0.6048655869237606,0.5452683103656912,-0.006641994129573844,0.012571473028812341
C(block)[T.3],0.009701755138000586,0.004955563206788224,1.9577502562596596,0.05025932497253835,-1.0970270416150313e-05,0.019414480546417322
C(block)[T.4],0.01367490834280763,0.005361861837714173,2.5504029676075,0.010759847130584779,0.0031658522508081037,0.024183964434807158
C(block)[T.5],0.016886460439321217,0.005717897135400622,2.953264117812444,0.0031443281013357766,0.005679587986631254,0.02809333289201118
C(block)[T.6],0.020334845797896184,0.006275260348762361,3.2404784292187534,0.0011932930023867425,0.008035561520709696,0.032634130075082673
C(block)[T.7],0.018855909639293327,0.006982428346861673,2.700480220146952,0.00692394540656917,0.005170601554812901,0.032541217723773753
C(block)[T.8],0.025948966738157195,0.007910416021411983,3.280354240272358,0.0010367682131627082,0.010444836233461083,0.04145309724285331
C(block)[T.9],0.025039158254373244,0.00984726122943624,2.5427535302429205,0.01099827790360938,0.0057388808983206,0.04433943561042589
C(block)[T.10],0.03574130889605595,0.014072770782086129,2.539749239826509,0.011093197301076968,0.00815918500047957,0.06332343279163233
treat,0.01780819257062152,0.0022860343368355635,7.789993476332669,6.701265480692547e-15,0.013327647603001909,0.022288737538241128
baseline_activity,0.0006735482541908473,0.0025688180718920115,0.2622016177637519,0.7931660062195142,-0.004361242649553118,0.0057083391579348134
pre_metric,-0.0013173361711141351,0.002207570256884638,-0.596735785421019,0.5506837965605933,-0.00564409436794986,0.0030094220257215905
=======
,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09620316347600921,0.003510278297325817,27.406135732684852,2.317565282510547e-165,0.08932314443753803,0.1030831825144804
C(block)[T.2],0.002964739449619248,0.0049014847491942615,0.6048655869237606,0.5452683103656912,-0.006641994129573844,0.012571473028812341
C(block)[T.3],0.009701755138000586,0.004955563206788224,1.9577502562596596,0.05025932497253835,-1.0970270416150313e-05,0.019414480546417322
C(block)[T.4],0.01367490834280763,0.005361861837714173,2.5504029676075,0.010759847130584779,0.0031658522508081037,0.024183964434807158
C(block)[T.5],0.016886460439321217,0.005717897135400622,2.953264117812444,0.0031443281013357766,0.005679587986631254,0.02809333289201118
C(block)[T.6],0.020334845797896184,0.006275260348762361,3.2404784292187534,0.0011932930023867425,0.008035561520709696,0.032634130075082673
C(block)[T.7],0.018855909639293327,0.006982428346861673,2.700480220146952,0.00692394540656917,0.005170601554812901,0.032541217723773753
C(block)[T.8],0.025948966738157195,0.007910416021411983,3.280354240272358,0.0010367682131627082,0.010444836233461083,0.04145309724285331
C(block)[T.9],0.025039158254373244,0.00984726122943624,2.5427535302429205,0.01099827790360938,0.0057388808983206,0.04433943561042589
C(block)[T.10],0.03574130889605595,0.014072770782086129,2.539749239826509,0.011093197301076968,0.00815918500047957,0.06332343279163233
treat,0.01780819257062152,0.0022860343368355635,7.789993476332669,6.701265480692547e-15,0.013327647603001909,0.022288737538241128
baseline_activity,0.0006735482541908473,0.0025688180718920115,0.2622016177637519,0.7931660062195142,-0.004361242649553118,0.0057083391579348134
pre_metric,-0.0013173361711141351,0.002207570256884638,-0.596735785421019,0.5506837965605933,-0.00564409436794986,0.0030094220257215905
>>>>>>> d9681faaefa0c817f85f304ca745e7ad9ee5a352
