<<<<<<< HEAD
"model","term","estimate","std_error","t_value","p_value"
"real","(Intercept)",9.93182893091335,0.166304670205106,59.7206856467968,1.00349281629451e-253
"real","df$t",0.0210360803326599,0.000960961596379981,21.8906566213515,2.12915537853578e-78
"real","I0",1.84899872157971,0.234216452624091,7.89440152843271,1.4066346988395e-14
"real","post0",0.00855763348886413,0.00135226058834635,6.32839081654302,4.87156434633285e-10
"placebo","(Intercept)",10.157695374736,0.207802222037795,48.8815532150014,1.08310789432816e-210
"placebo","df$t",0.0185686390706481,0.00180187378418236,10.3051829898696,5.000042700814e-23
"placebo","I_p",0.136847221091994,0.253713687843846,0.539376579383531,0.589828473791543
"placebo","post_p",0.0149302970674181,0.00190880708515715,7.82179466092505,2.37805553972861e-14
=======
"model","term","estimate","std_error","t_value","p_value"
"real","(Intercept)",9.93182893091335,0.166304670205106,59.7206856467968,1.00349281629451e-253
"real","df$t",0.0210360803326599,0.000960961596379981,21.8906566213515,2.12915537853578e-78
"real","I0",1.84899872157971,0.234216452624091,7.89440152843271,1.4066346988395e-14
"real","post0",0.00855763348886413,0.00135226058834635,6.32839081654302,4.87156434633285e-10
"placebo","(Intercept)",10.157695374736,0.207802222037795,48.8815532150014,1.08310789432816e-210
"placebo","df$t",0.0185686390706481,0.00180187378418236,10.3051829898696,5.000042700814e-23
"placebo","I_p",0.136847221091994,0.253713687843846,0.539376579383531,0.589828473791543
"placebo","post_p",0.0149302970674181,0.00190880708515715,7.82179466092505,2.37805553972861e-14
>>>>>>> d9681faaefa0c817f85f304ca745e7ad9ee5a352
